customer_id,full_name,last_order_date,days_since_last_order,total_orders,churn_status
551663,Ajay Sharma,2025-03-07,418,2,Churned
471219,Sneha Chatterjee,2025-03-07,418,2,Churned
244007,Nidhi Verma,2025-03-07,418,3,Churned
316385,Sneha Malhotra,2025-03-07,418,2,Churned
755973,Shreya Khan,2025-03-07,418,2,Churned
857270,Sanjay Singh,2025-03-07,418,1,Churned
698121,Deepak Banerjee,2025-03-07,418,3,Churned
374384,Kunal Patel,2025-03-07,418,3,Churned
390075,Rahul Mehta,2025-03-07,418,2,Churned
572725,Amit Das,2025-03-07,418,3,Churned
219976,Priya Mehta,2025-03-07,418,2,Churned
694286,Anjali Agarwal,2025-03-07,418,3,Churned
295889,Prakash Mehta,2025-03-07,418,1,Churned
736083,Isha Iyer,2025-03-07,418,3,Churned
296375,Kunal Agarwal,2025-03-07,418,3,Churned
439324,Nitin Gupta,2025-03-07,418,2,Churned
870822,Preeti Banerjee,2025-03-07,418,2,Churned
572358,Aarti Reddy,2025-03-07,418,1,Churned
514114,Aarti Iyer,2025-03-07,418,1,Churned
18585,Anjali Reddy,2025-03-07,418,2,Churned
57724,Pooja Mehta,2025-03-07,418,1,Churned
629788,Neha Agarwal,2025-03-07,418,2,Churned
887750,Prakash Iyer,2025-03-07,418,3,Churned
230572,Nidhi Sharma,2025-03-07,418,1,Churned
612434,Aarti Khan,2025-03-07,418,2,Churned
988390,Preeti Reddy,2025-03-07,418,2,Churned
850753,Meera Reddy,2025-03-07,418,3,Churned
42131,Rashmi Agarwal,2025-03-07,418,3,Churned
416597,Suresh Agarwal,2025-03-07,418,1,Churned
346868,Neha Banerjee,2025-03-07,418,2,Churned
55248,Manish Chatterjee,2025-03-07,418,1,Churned
518906,Sneha Banerjee,2025-03-07,418,2,Churned
769253,Kunal Mehta,2025-03-07,418,2,Churned
947043,Shreya Singh,2025-03-07,418,1,Churned
290674,Sanjay Patel,2025-03-07,418,2,Churned
612858,Riya Das,2025-03-07,418,3,Churned
166717,Shreya Patel,2025-03-07,418,1,Churned
538495,Prakash Agarwal,2025-03-07,418,1,Churned
23522,Aarti Khan,2025-03-07,418,3,Churned
842975,Ajay Sharma,2025-03-07,418,3,Churned
698907,Pooja Singh,2025-03-07,418,3,Churned
738877,Neha Sharma,2025-03-07,418,3,Churned
841778,Ankit Khan,2025-03-07,418,2,Churned
982980,Kunal Kapoor,2025-03-07,418,1,Churned
429827,Amit Patel,2025-03-07,418,2,Churned
901829,Prakash Kapoor,2025-03-07,418,1,Churned
961880,Sharma,2025-03-07,418,3,Churned
494349,Aarti Banerjee,2025-03-07,418,1,Churned
367833,Rohit Verma,2025-03-07,418,2,Churned
199736,Sneha Gupta,2025-03-07,418,3,Churned
20260,Priya Kapoor,2025-03-07,418,3,Churned
993895,Shreya Reddy,2025-03-07,418,3,Churned
181283,Anjali Banerjee,2025-03-07,418,2,Churned
452486,Arjun Verma,2025-03-07,418,3,Churned
516322,Shreya Das,2025-03-07,418,3,Churned
623947,Swati Kapoor,2025-03-07,418,2,Churned
481895,Rohit Agarwal,2025-03-07,418,1,Churned
68181,Preeti Das,2025-03-07,418,3,Churned
162277,Neha Patel,2025-03-07,418,1,Churned
716550,Kavita Mehta,2025-03-07,418,3,Churned
121253,Ankit Agarwal,2025-03-07,418,2,Churned
359993,Preeti Banerjee,2025-03-07,418,3,Churned
552523,Riya Das,2025-03-07,418,2,Churned
191128,Prakash Singh,2025-03-07,418,3,Churned
402018,Kavita Das,2025-03-07,418,2,Churned
755503,Neha Kapoor,2025-03-07,418,3,Churned
169878,Riya Kapoor,2025-03-07,418,3,Churned
334984,Rashmi Sharma,2025-03-07,418,2,Churned
614456,Kunal Sharma,2025-03-07,418,3,Churned
759630,Meera Iyer,2025-03-07,418,3,Churned
890406,Preeti Gupta,2025-03-07,418,2,Churned
360266,Preeti Singh,2025-03-07,418,3,Churned
283060,Nitin Agarwal,2025-03-07,418,2,Churned
984913,Aarti Agarwal,2025-03-07,418,2,Churned
767814,Rashmi Sharma,2025-03-07,418,2,Churned
52492,Vikas Singh,2025-03-07,418,2,Churned
366227,Meera,2025-03-07,418,2,Churned
62782,Kavita Khan,2025-03-07,418,2,Churned
729968,Neha Agarwal,2025-03-07,418,1,Churned
40608,Anjali Das,2025-03-07,418,1,Churned
139585,Isha Malhotra,2025-03-07,418,2,Churned
28241,Sanjay Gupta,2025-03-07,418,3,Churned
806797,Priya Iyer,2025-03-07,418,3,Churned
92466,Priya Banerjee,2025-03-07,418,3,Churned
737495,Sneha Kapoor,2025-03-07,418,2,Churned
133977,Anjali Kapoor,2025-03-07,418,2,Churned
919985,Kunal Mehta,2025-03-07,418,3,Churned
632408,Kavita Sharma,2025-03-07,418,2,Churned
822519,Neha Iyer,2025-03-07,418,2,Churned
6529,Ajay Verma,2025-03-07,418,3,Churned
404984,Isha Singh,2025-03-07,418,1,Churned
857950,Anjali Banerjee,2025-03-07,418,2,Churned
74543,Manish Khan,2025-03-07,418,3,Churned
977136,Meera Singh,2025-03-07,418,3,Churned
46835,Vivek Agarwal,2025-03-07,418,2,Churned
250479,Prakash Chatterjee,2025-03-07,418,3,Churned
576919,Ajay Das,2025-03-07,418,1,Churned
847053,Neha Malhotra,2025-03-07,418,1,Churned
734983,Rashmi Banerjee,2025-03-07,418,2,Churned
669799,Nidhi Reddy,2025-03-07,418,1,Churned
537561,Pooja Gupta,2025-03-07,418,3,Churned
172748,Isha Gupta,2025-03-07,418,1,Churned
989629,Shreya Chatterjee,2025-03-07,418,3,Churned
789256,Riya Das,2025-03-07,418,3,Churned
95060,Aarti Singh,2025-03-07,418,3,Churned
273394,Kunal Agarwal,2025-03-07,418,2,Churned
751560,Isha Das,2025-03-07,418,3,Churned
508732,Nidhi Gupta,2025-03-07,418,1,Churned
149523,Neha Malhotra,2025-03-07,418,2,Churned
798316,Suresh Banerjee,2025-03-07,418,2,Churned
673906,Preeti Sharma,2025-03-07,418,3,Churned
482271,Prakash Reddy,2025-03-07,418,3,Churned
447532,Isha Patel,2025-03-07,418,2,Churned
666737,Sneha Gupta,2025-03-07,418,3,Churned
818172,Pooja Khan,2025-03-07,418,2,Churned
364319,Nitin Iyer,2025-03-07,418,3,Churned
429682,Rashmi Iyer,2025-03-07,418,2,Churned
124793,Isha Mehta,2025-03-07,418,2,Churned
915411,Neha Singh,2025-03-07,418,1,Churned
529507,Amit Patel,2025-03-07,418,1,Churned
922719,Meera Das,2025-03-07,418,2,Churned
861721,Priya Iyer,2025-03-07,418,2,Churned
50330,Priya Reddy,2025-03-07,418,3,Churned
415339,Meera Iyer,2025-03-07,418,2,Churned
792451,Priya Das,2025-03-07,418,2,Churned
282454,Vivek Banerjee,2025-03-07,418,1,Churned
553129,Pooja Reddy,2025-03-07,418,2,Churned
29534,Isha Sharma,2025-03-07,418,2,Churned
73543,Neha Singh,2025-03-07,418,3,Churned
512755,Rashmi Khan,2025-03-07,418,3,Churned
415696,Pooja Mehta,2025-03-07,418,3,Churned
870765,Isha Gupta,2025-03-07,418,1,Churned
227327,Ankit Sharma,2025-03-07,418,3,Churned
850152,Rashmi Malhotra,2025-03-07,418,2,Churned
768117,Kavita Sharma,2025-03-07,418,3,Churned
999846,Swati Chatterjee,2025-03-07,418,1,Churned
891591,Rahul Reddy,2025-03-07,418,1,Churned
969034,Shreya Khan,2025-03-07,418,1,Churned
964114,Arjun Reddy,2025-03-07,418,1,Churned
362075,Rashmi Sharma,2025-03-07,418,3,Churned
310456,Rashmi Verma,2025-03-07,418,3,Churned
97734,Ajay Khan,2025-03-07,418,1,Churned
179829,Shreya Agarwal,2025-03-07,418,2,Churned
676029,Isha Verma,2025-03-07,418,1,Churned
842755,Meera Singh,2025-03-07,418,3,Churned
514996,Kavita Reddy,2025-03-07,418,2,Churned
969711,Nidhi Banerjee,2025-03-07,418,3,Churned
255174,Priya Mehta,2025-03-07,418,2,Churned
971466,Isha Das,2025-03-07,418,1,Churned
855468,Nitin Singh,2025-03-07,418,1,Churned
250701,Preeti Iyer,2025-03-07,418,1,Churned
286918,Nidhi Mehta,2025-03-07,418,1,Churned
777853,Priya Singh,2025-03-07,418,1,Churned
616542,Anjali Sharma,2025-03-07,418,2,Churned
951248,Kavita Agarwal,2025-03-07,418,1,Churned
955787,Rashmi Chatterjee,2025-03-07,418,3,Churned
479812,Kavita Gupta,2025-03-07,418,3,Churned
361688,Aarti Kapoor,2025-03-07,418,2,Churned
221132,Preeti Sharma,2025-03-07,418,3,Churned
882082,Neha Agarwal,2025-03-07,418,2,Churned
61147,Ankit Iyer,2025-03-07,418,2,Churned
26479,Nidhi Iyer,2025-03-07,418,3,Churned
343946,Vivek Das,2025-03-07,418,1,Churned
872854,Priya Chatterjee,2025-03-07,418,3,Churned
497604,Swati Banerjee,2025-03-07,418,1,Churned
938928,Nidhi Gupta,2025-03-07,418,2,Churned
124694,Nidhi Gupta,2025-03-07,418,3,Churned
231383,Swati Verma,2025-03-07,418,2,Churned
594815,Vivek Mehta,2025-03-07,418,1,Churned
826747,Kavita Reddy,2025-03-07,418,3,Churned
715380,Ajay Malhotra,2025-03-07,418,1,Churned
133647,Preeti Mehta,2025-03-07,418,3,Churned
438901,Vikas Iyer,2025-03-07,418,2,Churned
803873,Deepak Malhotra,2025-03-07,418,1,Churned
263659,Ankit Verma,2025-03-07,418,2,Churned
89380,Prakash Khan,2025-03-07,418,3,Churned
52083,Isha Verma,2025-03-07,418,1,Churned
343513,Pooja Verma,2025-03-07,418,2,Churned
1689,Kavita Kapoor,2025-03-07,418,3,Churned
476618,Suresh Agarwal,2025-03-07,418,1,Churned
441284,Neha Chatterjee,2025-03-07,418,2,Churned
345228,Priya Khan,2025-03-07,418,2,Churned
495156,Sneha Iyer,2025-03-07,418,3,Churned
102650,Rashmi Patel,2025-03-07,418,3,Churned
940889,Preeti Malhotra,2025-03-07,418,2,Churned
761475,Anjali Khan,2025-03-07,418,3,Churned
693406,Pooja Iyer,2025-03-07,418,3,Churned
732420,Ankit Chatterjee,2025-03-07,418,1,Churned
870446,Prakash Gupta,2025-03-07,418,1,Churned
174571,Rashmi Sharma,2025-03-07,418,1,Churned
560040,Deepak Chatterjee,2025-03-07,418,3,Churned
974361,Rashmi Khan,2025-03-07,418,3,Churned
832562,Deepak Reddy,2025-03-07,418,1,Churned
177633,Shreya Khan,2025-03-07,418,2,Churned
533548,Isha Reddy,2025-03-07,418,2,Churned
933750,Pooja Singh,2025-03-07,418,2,Churned
628311,Sneha Verma,2025-03-07,418,1,Churned
623547,Neha Malhotra,2025-03-07,418,3,Churned
314119,Aarti Reddy,2025-03-07,418,1,Churned
782129,Swati Singh,2025-03-07,418,1,Churned
495313,Nitin Gupta,2025-03-07,418,3,Churned
933601,Rashmi Malhotra,2025-03-07,418,1,Churned
585056,Swati Chatterjee,2025-03-07,418,2,Churned
783944,Sneha Verma,2025-03-07,418,2,Churned
811878,Pooja Banerjee,2025-03-07,418,1,Churned
541305,Vivek Gupta,2025-03-07,418,2,Churned
380819,Neha Gupta,2025-03-07,418,3,Churned
14406,Anjali Mehta,2025-03-07,418,3,Churned
783411,Riya Kapoor,2025-03-07,418,2,Churned
586935,Kavita Patel,2025-03-07,418,3,Churned
663527,Neha Khan,2025-03-07,418,3,Churned
591792,Riya Mehta,2025-03-07,418,1,Churned
810484,Preeti Banerjee,2025-03-07,418,2,Churned
925775,Anjali Sharma,2025-03-07,418,1,Churned
457382,Vikas Khan,2025-03-07,418,1,Churned
187644,Aarti Gupta,2025-03-07,418,2,Churned
167074,Manish Malhotra,2025-03-07,418,3,Churned
372448,Aarti Sharma,2025-03-07,418,2,Churned
812621,Isha Singh,2025-03-07,418,2,Churned
64122,Neha Gupta,2025-03-07,418,3,Churned
262840,Meera Verma,2025-03-07,418,2,Churned
949376,Sanjay Khan,2025-03-07,418,2,Churned
513314,Pooja Agarwal,2025-03-07,418,2,Churned
454789,Nidhi Iyer,2025-03-07,418,3,Churned
301981,Riya Reddy,2025-03-07,418,2,Churned
911449,Nitin Iyer,2025-03-07,418,3,Churned
287839,Kavita Malhotra,2025-03-07,418,2,Churned
323240,Vivek Das,2025-03-07,418,3,Churned
155358,Rashmi Gupta,2025-03-07,418,2,Churned
713853,Priya Malhotra,2025-03-07,418,3,Churned
176654,Deepak Malhotra,2025-03-07,418,2,Churned
713354,Manish Verma,2025-03-07,418,3,Churned
218036,Nitin Iyer,2025-03-07,418,3,Churned
376368,Rohit Banerjee,2025-03-07,418,2,Churned
131706,Kunal Reddy,2025-03-07,418,2,Churned
881622,Swati Khan,2025-03-07,418,3,Churned
332390,Kavita Banerjee,2025-03-07,418,3,Churned
956004,Suresh Reddy,2025-03-07,418,1,Churned
450750,Swati Iyer,2025-03-07,418,1,Churned
109098,Swati Singh,2025-03-07,418,2,Churned
373432,Rashmi Reddy,2025-03-07,418,2,Churned
937160,Neha Khan,2025-03-07,418,2,Churned
283727,Pooja Sharma,2025-03-07,418,3,Churned
272771,Amit Singh,2025-03-07,418,1,Churned
278005,Deepak Sharma,2025-03-07,418,2,Churned
860353,Meera Iyer,2025-03-07,418,2,Churned
270518,Rahul Iyer,2025-03-07,418,1,Churned
67559,Arjun Kapoor,2025-03-07,418,2,Churned
179401,Manish Singh,2025-03-07,418,1,Churned
356358,Pooja Agarwal,2025-03-07,418,2,Churned
710946,Vivek Das,2025-03-07,418,2,Churned
917869,Isha Chatterjee,2025-03-07,418,1,Churned
998132,Rahul Chatterjee,2025-03-07,418,2,Churned
611159,Isha Malhotra,2025-03-07,418,3,Churned
201378,Sneha Mehta,2025-03-07,418,3,Churned
764192,Kavita Agarwal,2025-03-07,418,2,Churned
174860,Kavita Khan,2025-03-07,418,2,Churned
916698,Riya Verma,2025-03-07,418,2,Churned
567622,Pooja Iyer,2025-03-07,418,1,Churned
570648,Neha Iyer,2025-03-07,418,3,Churned
101053,Suresh Sharma,2025-03-07,418,3,Churned
441525,Priya Mehta,2025-03-07,418,3,Churned
144537,Anjali Malhotra,2025-03-07,418,1,Churned
764536,Kavita Reddy,2025-03-08,417,3,Churned
900406,Isha Patel,2025-03-08,417,2,Churned
872787,Shreya Gupta,2025-03-08,417,2,Churned
826528,Sanjay Khan,2025-03-08,417,2,Churned
100649,Anjali Mehta,2025-03-08,417,3,Churned
558566,Meera Chatterjee,2025-03-08,417,2,Churned
454762,Swati Malhotra,2025-03-08,417,2,Churned
568666,Swati Khan,2025-03-08,417,3,Churned
539011,Nidhi Agarwal,2025-03-08,417,1,Churned
252401,Riya Malhotra,2025-03-08,417,1,Churned
106130,Deepak Agarwal,2025-03-08,417,2,Churned
510100,Nidhi Khan,2025-03-08,417,1,Churned
881613,Riya Gupta,2025-03-08,417,1,Churned
506458,Kavita Khan,2025-03-08,417,3,Churned
103570,Suresh Agarwal,2025-03-08,417,2,Churned
814576,Preeti Mehta,2025-03-08,417,3,Churned
